model,split,average_precision,roc_auc,f1,precision,recall,brier_score,threshold,support,prevalence,tn,fp,fn,tp
A_all_features,valid,0.8002285626903215,0.865028865620404,0.6804489072652097,0.6357615894039735,0.7318932655654383,0.14080501437820797,0.5,5245.0,0.30009532888465207,3011.0,660.0,422.0,1152.0
A_all_features,test,0.9039105736575328,0.9210302480689428,0.7980582524271844,0.8015602145294978,0.7945867568873852,0.11016685012300989,0.5,5246.0,0.394395730080061,2770.0,407.0,425.0,1644.0
B_no_rolling,valid,0.8115345736862933,0.8754918958546276,0.6904831625183017,0.6404128191200434,0.7490470139771284,0.13484011774170693,0.5,5245.0,0.30009532888465207,3009.0,662.0,395.0,1179.0
B_no_rolling,test,0.8998813281049461,0.9170463516091749,0.797274275979557,0.8029411764705883,0.791686805219913,0.11175385152872051,0.5,5246.0,0.394395730080061,2775.0,402.0,431.0,1638.0
C_no_pollutant_lags,valid,0.8106101668584758,0.8716790864348717,0.6967551622418879,0.650330396475771,0.7503176620076238,0.13549157700819972,0.5,5245.0,0.30009532888465207,3036.0,635.0,393.0,1181.0
C_no_pollutant_lags,test,0.9048356405822109,0.9238469832028873,0.8013765978367748,0.815407703851926,0.7878202029966167,0.10805596775628358,0.5,5246.0,0.394395730080061,2808.0,369.0,439.0,1630.0
D_no_weather,valid,0.8018185439234499,0.8640077782627462,0.6842105263157895,0.639933628318584,0.7350698856416773,0.13811882032600248,0.5,5245.0,0.30009532888465207,3020.0,651.0,417.0,1157.0
D_no_weather,test,0.8892652443537002,0.9063015301649284,0.7793404461687682,0.7819951338199513,0.77670372160464,0.12071772701572812,0.5,5246.0,0.394395730080061,2729.0,448.0,462.0,1607.0
E_no_calendar,valid,0.8068781638524557,0.8691454052626497,0.6974609972468645,0.672566371681416,0.7242693773824651,0.13274686581870346,0.5,5245.0,0.30009532888465207,3116.0,555.0,434.0,1140.0
E_no_calendar,test,0.9012853668619581,0.9158312685135869,0.7962690230731467,0.8089775561097257,0.7839536007733204,0.11121449215276112,0.5,5246.0,0.394395730080061,2794.0,383.0,447.0,1622.0
F_only_historical_pm25,valid,0.8030963947735552,0.8660968537702526,0.699443413729128,0.6813253012048193,0.7185514612452351,0.13310689374261744,0.5,5245.0,0.30009532888465207,3142.0,529.0,443.0,1131.0
F_only_historical_pm25,test,0.8782507842552854,0.8914561265548522,0.7789678675754625,0.784698381559588,0.7733204446592556,0.12499809516866947,0.5,5246.0,0.394395730080061,2738.0,439.0,469.0,1600.0
G_only_weather,valid,0.6981526389541631,0.8162144864951677,0.6233618233618233,0.5650826446280992,0.6950444726810674,0.16347229776600258,0.5,5245.0,0.30009532888465207,2829.0,842.0,480.0,1094.0
G_only_weather,test,0.7944073658311188,0.8513398242229485,0.7213186813186813,0.6614268440145102,0.7931367810536492,0.15919251514262514,0.5,5246.0,0.394395730080061,2337.0,840.0,428.0,1641.0
